batman,Runs,BF,4s,6s,Opposition,Ground,100,50,
sarfaraz ahmed,105,15,1,0,v Hong Kong,Karachi,yes,no,
sarfaraz ahmed,101*,31,0,0,v Sri Lanka,Karachi,yes,no,
sarfaraz ahmed,97,13,0,0,v Australia,Perth,no,yes,
sarfaraz ahmed,90,7,0,0,v Sri Lanka,Dubai (DSC),no,yes,
sarfaraz ahmed,77,37,1,0,v Sri Lanka,Dubai (DSC),no,yes,
sarfaraz ahmed,65,5,0,0,v Sri Lanka,Dubai (DSC),no,yes,
sarfaraz ahmed,64,17,0,0,v Sri Lanka,Sharjah,no,yes,
sarfaraz ahmed,64,3,0,0,v Bangladesh,Dhaka,no,yes,
sarfaraz ahmed,61*,14,0,0,v Bangladesh,Dhaka,no,yes,
sarfaraz ahmed,60*,28,0,0,v Bangladesh,Dhaka,no,yes,
sarfaraz ahmed,55,52,4,0,v Bangladesh,Dhaka,no,yes,
sarfaraz ahmed,55,27,2,0,v Sri Lanka,Pallekele,no,yes,
sarfaraz ahmed,51,1,0,0,v Sri Lanka,Colombo (RPS),no,yes,
sarfaraz ahmed,49,18,0,0,v Zimbabwe,Harare,no,no,
sarfaraz ahmed,46*,13,2,0,v Zimbabwe,Harare,no,no,
sarfaraz ahmed,44,41,3,1,v Australia,Sharjah,no,no,
sarfaraz ahmed,44,72,5,1,v Australia,Dubai (DSC),no,no,
sarfaraz ahmed,41*,39,2,0,v Australia,Abu Dhabi,no,no,
sarfaraz ahmed,41,19,3,0,v New Zealand,Dubai (DSC),no,no,
sarfaraz ahmed,41,31,0,0,v New Zealand,Sharjah,no,no,
sarfaraz ahmed,40,14,4,1,v New Zealand,Sharjah,no,no,
sarfaraz ahmed,38,13,2,0,v New Zealand,Abu Dhabi,no,no,
sarfaraz ahmed,35,24,2,0,v New Zealand,Abu Dhabi,no,no,
sarfaraz ahmed,34,12,0,0,v New Zealand,Wellington,no,no,
sarfaraz ahmed,32,12,1,0,v New Zealand,Napier,no,no,
sarfaraz ahmed,30*,49,5,3,v South Africa,Auckland,no,no,
sarfaraz ahmed,30,124,6,0,v Ireland,Adelaide,no,no,
sarfaraz ahmed,27,16,1,0,v Australia,Adelaide,no,no,
sarfaraz ahmed,27,31,3,0,v Bangladesh,Dhaka,no,no,
sarfaraz ahmed,26,11,0,0,v Bangladesh,Dhaka,no,no,
sarfaraz ahmed,26,28,1,0,v Zimbabwe,Lahore,no,no,
sarfaraz ahmed,26,23,3,0,v Zimbabwe,Lahore,no,no,
sarfaraz ahmed,26,9,0,0,v Sri Lanka,Pallekele,no,no,
sarfaraz ahmed,25,74,7,0,v Sri Lanka,Colombo (RPS),no,no,
sarfaraz ahmed,24*,23,1,0,v Sri Lanka,Colombo (RPS),no,no,
sarfaraz ahmed,24*,24,3,0,v Sri Lanka,Hambantota,no,no,
sarfaraz ahmed,24,59,3,0,v Zimbabwe,Harare,no,no,
sarfaraz ahmed,24,14,1,0,v Zimbabwe,Harare,no,no,
sarfaraz ahmed,24,76,3,0,v England,Abu Dhabi,no,no,
sarfaraz ahmed,23,26,3,0,v England,Sharjah,no,no,
sarfaraz ahmed,23,26,2,0,v England,Dubai (DSC),no,no,
sarfaraz ahmed,22,29,3,0,v New Zealand,Wellington,no,no,
sarfaraz ahmed,22,50,5,0,v New Zealand,Auckland,no,no,
sarfaraz ahmed,21*,7,0,0,v Ireland,Dublin (Malahide),no,no,
sarfaraz ahmed,20*,58,3,0,v England,Southampton,no,no,
sarfaraz ahmed,20,130,6,0,v England,Lord's,no,no,
sarfaraz ahmed,19*,43,5,0,v England,Nottingham,no,no,
sarfaraz ahmed,19,23,0,0,v England,Leeds,no,no,
sarfaraz ahmed,18,110,73,10,,v England,Cardiff,no,no
